Image_Name: _a_17,100 copy
Class: Hair
Inner Main Points: [(1058.7049692655082, 159.79632633280264), (1004.7636048621936, 95.64727219524408), (968.8447638366142, 68.15855088091246), (1049.9297812031768, 124.6710690870245), (1091.4165524332711, 195.17967108600257)]
Mask Points:
[[        999           6]
 [        999          15]
 [        996          18]
 [        996          24]
 [        993          27]
 [        993          30]
 [        990          33]
 [        987          33]
 [        984          36]
 [        960          36]
 [        957          39]
 [        951          39]
 [        942          48]
 [        939          48]
 [        936          51]
 [        933          51]
 [        930          54]
 [        927          54]
 [        924          57]
 [        921          57]
 [        918          60]
 [        909          60]
 [        906          63]
 [        903          63]
 [        900          66]
 [        900          69]
 [        897          72]
 [        897          81]
 [        885          93]
 [        882          93]
 [        876          99]
 [        873          99]
 [        867         105]
 [        867         108]
 [        864         111]
 [        864         114]
 [        861         117]
 [        861         120]
 [        858         123]
 [        858         126]
 [        864         132]
 [        864         147]
 [        861         150]
 [        861         153]
 [        858         156]
 [        846         156]
 [        846         165]
 [        858         165]
 [        861         168]
 [        864         168]
 [        867         171]
 [        867         177]
 [        861         183]
 [        861         186]
 [        858         189]
 [        846         189]
 [        846         195]
 [        870         195]
 [        870         168]
 [        873         165]
 [        873         159]
 [        879         153]
 [        879         144]
 [        882         141]
 [        882         135]
 [        891         126]
 [        891         123]
 [        894         120]
 [        894         117]
 [        897         114]
 [        900         114]
 [        912         102]
 [        915         102]
 [        921          96]
 [        924          96]
 [        927          93]
 [        930          93]
 [        933          90]
 [        948          90]
 [        951          87]
 [        954          90]
 [        957          90]
 [        960          93]
 [        960          96]
 [        963          99]
 [        963         111]
 [        966         114]
 [        966         117]
 [        969         120]
 [        969         123]
 [        975         129]
 [        975         132]
 [        978         132]
 [        981         129]
 [        981         123]
 [        984         120]
 [        984         117]
 [        990         111]
 [        996         117]
 [       1002         117]
 [       1014         129]
 [       1017         129]
 [       1023         135]
 [       1023         138]
 [       1026         141]
 [       1026         162]
 [       1023         165]
 [       1023         177]
 [       1026         177]
 [       1029         174]
 [       1035         174]
 [       1038         171]
 [       1047         171]
 [       1053         177]
 [       1053         180]
 [       1056         183]
 [       1056         189]
 [       1059         192]
 [       1059         207]
 [       1062         210]
 [       1062         231]
 [       1074         231]
 [       1083         240]
 [       1095         240]
 [       1095         237]
 [       1098         234]
 [       1098         231]
 [       1107         222]
 [       1113         222]
 [       1116         219]
 [       1122         219]
 [       1131         210]
 [       1143         210]
 [       1143         186]
 [       1134         186]
 [       1131         183]
 [       1128         183]
 [       1116         171]
 [       1116         168]
 [       1119         165]
 [       1119         153]
 [       1122         150]
 [       1122         147]
 [       1116         141]
 [       1116         138]
 [       1110         132]
 [       1110         129]
 [       1107         126]
 [       1107         123]
 [       1116         114]
 [       1119         114]
 [       1119         111]
 [       1116         111]
 [       1107         102]
 [       1101         102]
 [       1089          90]
 [       1089          87]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1062          69]
 [       1059          66]
 [       1059          60]
 [       1062          57]
 [       1062          51]
 [       1059          51]
 [       1056          48]
 [       1044          48]
 [       1041          51]
 [       1038          51]
 [       1029          42]
 [       1029          39]
 [       1026          36]
 [       1026          33]
 [       1023          30]
 [       1023          27]
 [       1020          24]
 [       1020          21]
 [       1017          18]
 [       1017           6]]
