Image_Name: _a_3,100 copy
Class: Hair
Inner Main Points: [(931.3414982258046, 81.55570835716037), (929.5358717389884, 90.38301132509176), (991.6344053507523, 97.84355315444047), (810.357983254691, 192.40427405881226), (1051.0491611101984, 172.81701702000527)]
Mask Points:
[[        921          30]
 [        921          45]
 [        924          48]
 [        924          54]
 [        921          57]
 [        918          57]
 [        915          60]
 [        906          60]
 [        903          63]
 [        894          63]
 [        891          66]
 [        888          66]
 [        885          69]
 [        882          69]
 [        876          75]
 [        870          75]
 [        867          78]
 [        864          78]
 [        858          84]
 [        855          84]
 [        852          87]
 [        849          87]
 [        846          90]
 [        843          90]
 [        840          93]
 [        837          93]
 [        834          96]
 [        831          96]
 [        828          99]
 [        825          99]
 [        822         102]
 [        813         102]
 [        807         108]
 [        807         120]
 [        810         123]
 [        810         126]
 [        807         129]
 [        807         132]
 [        804         135]
 [        804         138]
 [        798         144]
 [        798         147]
 [        786         159]
 [        774         159]
 [        774         174]
 [        783         174]
 [        786         177]
 [        789         177]
 [        795         183]
 [        795         186]
 [        792         189]
 [        792         195]
 [        783         204]
 [        774         204]
 [        774         222]
 [        786         222]
 [        789         225]
 [        792         225]
 [        798         231]
 [        798         255]
 [        801         258]
 [        822         258]
 [        825         255]
 [        825         225]
 [        822         222]
 [        822         219]
 [        825         216]
 [        825         195]
 [        828         192]
 [        828         186]
 [        834         180]
 [        837         183]
 [        840         183]
 [        843         186]
 [        846         183]
 [        846         180]
 [        849         177]
 [        849         174]
 [        852         171]
 [        852         168]
 [        855         165]
 [        855         162]
 [        858         159]
 [        858         156]
 [        861         153]
 [        861         150]
 [        864         147]
 [        864         144]
 [        867         141]
 [        867         138]
 [        885         120]
 [        888         120]
 [        891         117]
 [        894         117]
 [        897         114]
 [        900         114]
 [        903         111]
 [        915         111]
 [        927         123]
 [        927         126]
 [        936         135]
 [        936         138]
 [        939         141]
 [        945         141]
 [        951         147]
 [        951         132]
 [        957         126]
 [        966         126]
 [        969         129]
 [        972         129]
 [        981         138]
 [        984         138]
 [        987         141]
 [        990         141]
 [        996         147]
 [        996         150]
 [        999         153]
 [        999         159]
 [       1002         162]
 [       1002         174]
 [        999         177]
 [        999         183]
 [       1002         186]
 [       1005         186]
 [       1008         183]
 [       1017         183]
 [       1020         186]
 [       1023         186]
 [       1026         189]
 [       1026         192]
 [       1029         195]
 [       1029         198]
 [       1032         201]
 [       1032         204]
 [       1035         207]
 [       1035         231]
 [       1038         234]
 [       1038         246]
 [       1041         246]
 [       1044         243]
 [       1059         243]
 [       1065         237]
 [       1068         237]
 [       1071         234]
 [       1074         234]
 [       1077         231]
 [       1080         231]
 [       1080         228]
 [       1083         225]
 [       1083         210]
 [       1086         207]
 [       1086         204]
 [       1092         198]
 [       1077         183]
 [       1077         180]
 [       1074         177]
 [       1074         171]
 [       1071         168]
 [       1071         159]
 [       1068         156]
 [       1068         150]
 [       1065         147]
 [       1065         144]
 [       1059         138]
 [       1059         123]
 [       1068         114]
 [       1071         114]
 [       1071         111]
 [       1068         111]
 [       1065         108]
 [       1062         108]
 [       1059         105]
 [       1056         105]
 [       1053         102]
 [       1050         102]
 [       1047          99]
 [       1044          99]
 [       1041          96]
 [       1038          96]
 [       1035          93]
 [       1032          93]
 [       1023          84]
 [       1020          84]
 [       1014          78]
 [       1011          78]
 [       1008          75]
 [       1008          72]
 [        999          63]
 [        993          63]
 [        990          60]
 [        957          60]
 [        954          57]
 [        951          57]
 [        942          48]
 [        942          45]
 [        939          42]
 [        939          30]]
