Image_Name: _a_14,100 copy
Class: Hair
Inner Main Points: [(1057.050236808336, 120.18711322408365), (1069.5854939856497, 97.95200872932827), (1069.4270100118952, 183.01361588704995), (874.7498103827181, 125.82061964156742), (1082.7442448395395, 129.33392546936707)]
Mask Points:
[[        993           6]
 [        993          24]
 [        990          27]
 [        990          30]
 [        984          36]
 [        978          36]
 [        975          39]
 [        957          39]
 [        954          42]
 [        951          42]
 [        948          45]
 [        945          45]
 [        942          48]
 [        936          48]
 [        933          51]
 [        927          51]
 [        924          54]
 [        918          54]
 [        915          57]
 [        891          57]
 [        888          60]
 [        888          63]
 [        885          66]
 [        885          78]
 [        882          81]
 [        882          84]
 [        879          87]
 [        879          90]
 [        876          93]
 [        873          93]
 [        852         114]
 [        852         117]
 [        849         120]
 [        849         129]
 [        852         132]
 [        852         147]
 [        849         150]
 [        849         153]
 [        846         156]
 [        834         156]
 [        834         177]
 [        843         177]
 [        849         183]
 [        849         195]
 [        846         198]
 [        846         201]
 [        849         204]
 [        849         210]
 [        852         210]
 [        855         213]
 [        858         213]
 [        861         210]
 [        864         210]
 [        870         204]
 [        870         198]
 [        873         195]
 [        870         192]
 [        870         180]
 [        873         177]
 [        873         168]
 [        876         165]
 [        876         159]
 [        879         156]
 [        879         153]
 [        882         150]
 [        882         147]
 [        888         141]
 [        888         138]
 [        891         135]
 [        891         132]
 [        897         126]
 [        897         123]
 [        915         105]
 [        918         105]
 [        921         102]
 [        924         102]
 [        927          99]
 [        933          99]
 [        936          96]
 [        948          96]
 [        951          93]
 [        960         102]
 [        960         105]
 [        963         108]
 [        963         111]
 [        966         114]
 [        966         117]
 [        969         120]
 [        969         123]
 [        975         129]
 [        975         132]
 [        978         135]
 [        981         135]
 [        984         132]
 [        984         123]
 [        987         120]
 [        987         117]
 [        990         114]
 [        993         117]
 [        999         117]
 [       1005         123]
 [       1008         123]
 [       1026         141]
 [       1026         174]
 [       1041         174]
 [       1044         171]
 [       1050         171]
 [       1053         174]
 [       1053         180]
 [       1056         183]
 [       1056         219]
 [       1059         222]
 [       1059         237]
 [       1062         240]
 [       1074         240]
 [       1080         246]
 [       1080         255]
 [       1095         255]
 [       1095         243]
 [       1098         240]
 [       1098         237]
 [       1101         234]
 [       1101         231]
 [       1110         222]
 [       1113         222]
 [       1116         219]
 [       1122         219]
 [       1128         213]
 [       1128         210]
 [       1134         204]
 [       1143         204]
 [       1143         186]
 [       1131         186]
 [       1125         180]
 [       1122         180]
 [       1116         174]
 [       1116         147]
 [       1113         144]
 [       1113         141]
 [       1110         138]
 [       1110         135]
 [       1107         132]
 [       1107         123]
 [       1113         117]
 [       1116         117]
 [       1119         114]
 [       1122         114]
 [       1122         111]
 [       1119         108]
 [       1116         108]
 [       1107          99]
 [       1104          99]
 [       1083          78]
 [       1080          78]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1065          69]
 [       1062          66]
 [       1062          60]
 [       1065          57]
 [       1065          51]
 [       1062          51]
 [       1059          48]
 [       1056          48]
 [       1053          45]
 [       1026          45]
 [       1017          36]
 [       1017          30]
 [       1014          27]
 [       1014          21]
 [       1011          18]
 [       1011           6]]
