Image_Name: _a_14,100 copy
Class: Hair
Inner Main Points: [(1019.1928722059704, 72.687799394535), (1016.7163333159352, 67.31105827615681), (1080.5803953808445, 197.53771416771326), (867.2808579884586, 122.14412629914386), (1032.9068561860704, 58.54367307597596)]
Mask Points:
[[        996           6]
 [        996          27]
 [        987          36]
 [        981          36]
 [        978          39]
 [        972          39]
 [        969          36]
 [        960          36]
 [        957          39]
 [        951          39]
 [        945          45]
 [        942          45]
 [        939          48]
 [        936          48]
 [        933          51]
 [        927          51]
 [        924          54]
 [        918          54]
 [        915          57]
 [        891          57]
 [        885          63]
 [        885          66]
 [        882          69]
 [        882          81]
 [        879          84]
 [        879          87]
 [        852         114]
 [        852         117]
 [        846         123]
 [        846         126]
 [        852         132]
 [        852         150]
 [        846         156]
 [        834         156]
 [        834         171]
 [        846         171]
 [        855         180]
 [        855         186]
 [        852         189]
 [        852         192]
 [        849         195]
 [        849         204]
 [        855         210]
 [        864         210]
 [        873         201]
 [        873         189]
 [        870         186]
 [        870         159]
 [        873         156]
 [        873         153]
 [        876         150]
 [        876         147]
 [        882         141]
 [        882         138]
 [        885         135]
 [        885         132]
 [        891         126]
 [        891         123]
 [        912         102]
 [        915         102]
 [        921          96]
 [        924          96]
 [        927          93]
 [        933          93]
 [        936          90]
 [        957          90]
 [        960          93]
 [        960          96]
 [        963          99]
 [        963         111]
 [        966         114]
 [        966         117]
 [        969         120]
 [        969         123]
 [        975         129]
 [        975         132]
 [        978         135]
 [        978         132]
 [        981         129]
 [        981         117]
 [        984         114]
 [        984         111]
 [        987         108]
 [        990         108]
 [        999         117]
 [       1002         117]
 [       1014         129]
 [       1017         129]
 [       1026         138]
 [       1026         147]
 [       1029         150]
 [       1029         153]
 [       1026         156]
 [       1026         168]
 [       1023         171]
 [       1023         177]
 [       1029         177]
 [       1032         174]
 [       1041         174]
 [       1044         171]
 [       1050         171]
 [       1053         174]
 [       1053         180]
 [       1056         183]
 [       1056         189]
 [       1059         192]
 [       1059         231]
 [       1062         234]
 [       1062         237]
 [       1074         237]
 [       1077         240]
 [       1080         240]
 [       1083         243]
 [       1086         243]
 [       1089         240]
 [       1092         240]
 [       1098         234]
 [       1098         231]
 [       1107         222]
 [       1110         222]
 [       1113         219]
 [       1122         219]
 [       1131         210]
 [       1143         210]
 [       1143         183]
 [       1128         183]
 [       1125         180]
 [       1122         180]
 [       1116         174]
 [       1116         147]
 [       1113         144]
 [       1113         141]
 [       1110         138]
 [       1110         135]
 [       1107         132]
 [       1107         129]
 [       1104         126]
 [       1104         123]
 [       1110         117]
 [       1113         117]
 [       1116         114]
 [       1119         114]
 [       1119         111]
 [       1116         111]
 [       1110         105]
 [       1107         105]
 [       1104         102]
 [       1101         102]
 [       1086          87]
 [       1086          84]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1062          69]
 [       1059          66]
 [       1059          60]
 [       1065          54]
 [       1059          48]
 [       1053          48]
 [       1047          42]
 [       1035          42]
 [       1032          45]
 [       1026          45]
 [       1017          36]
 [       1017          27]
 [       1014          24]
 [       1014          21]
 [       1011          18]
 [       1011           6]]
