Image_Name: _a_14,100 copy
Class: Hair
Inner Main Points: [(1037.7965423968103, 157.44713008101775), (1082.32358372836, 228.1904019946638), (1087.810132880851, 148.33418004777482), (1085.5508924039723, 226.97212467985096), (1060.7225308867173, 102.15031946453536)]
Mask Points:
[[        996           6]
 [        996          24]
 [        984          36]
 [        981          36]
 [        978          39]
 [        975          39]
 [        972          36]
 [        960          36]
 [        957          39]
 [        951          39]
 [        945          45]
 [        942          45]
 [        939          48]
 [        936          48]
 [        933          51]
 [        924          51]
 [        921          54]
 [        918          54]
 [        915          57]
 [        888          57]
 [        882          63]
 [        882          81]
 [        879          84]
 [        879          87]
 [        876          90]
 [        876          93]
 [        873          96]
 [        870          96]
 [        858         108]
 [        846         108]
 [        846         213]
 [        855         213]
 [        858         210]
 [        870         210]
 [        873         207]
 [        876         207]
 [        876         198]
 [        873         195]
 [        873         153]
 [        876         150]
 [        876         147]
 [        879         144]
 [        879         141]
 [        882         138]
 [        882         135]
 [        888         129]
 [        888         126]
 [        912         102]
 [        915         102]
 [        918          99]
 [        921          99]
 [        927          93]
 [        933          93]
 [        936          90]
 [        954          90]
 [        963          99]
 [        963         111]
 [        966         114]
 [        966         120]
 [        975         129]
 [        975         132]
 [        978         135]
 [        981         132]
 [        981         117]
 [        984         114]
 [        984         111]
 [        987         108]
 [        990         108]
 [        996         114]
 [        999         114]
 [       1011         126]
 [       1014         126]
 [       1023         135]
 [       1023         138]
 [       1026         141]
 [       1026         165]
 [       1023         168]
 [       1023         177]
 [       1029         177]
 [       1032         174]
 [       1041         174]
 [       1044         171]
 [       1050         171]
 [       1053         174]
 [       1053         177]
 [       1056         180]
 [       1056         183]
 [       1059         186]
 [       1059         234]
 [       1062         237]
 [       1062         240]
 [       1074         240]
 [       1077         243]
 [       1086         243]
 [       1098         231]
 [       1098         228]
 [       1104         222]
 [       1110         222]
 [       1113         219]
 [       1125         219]
 [       1134         210]
 [       1143         210]
 [       1143         183]
 [       1128         183]
 [       1125         180]
 [       1122         180]
 [       1116         174]
 [       1116         153]
 [       1119         150]
 [       1116         147]
 [       1116         144]
 [       1110         138]
 [       1110         132]
 [       1104         126]
 [       1104         123]
 [       1110         117]
 [       1113         117]
 [       1116         114]
 [       1122         114]
 [       1122         111]
 [       1119         111]
 [       1116         108]
 [       1113         108]
 [       1107         102]
 [       1104         102]
 [       1101          99]
 [       1098          99]
 [       1089          90]
 [       1089          87]
 [       1083          81]
 [       1083          78]
 [       1080          78]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1062          69]
 [       1059          66]
 [       1059          63]
 [       1065          57]
 [       1065          51]
 [       1062          48]
 [       1059          48]
 [       1056          45]
 [       1053          45]
 [       1050          42]
 [       1035          42]
 [       1029          48]
 [       1026          48]
 [       1020          42]
 [       1020          39]
 [       1017          36]
 [       1017          27]
 [       1014          24]
 [       1014          18]
 [       1011          15]
 [       1011           6]]
