                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2546,                 2.5187,                 1.6259,                0.00969,                0.83241,                0.26664,                0.12807,                 1.8242,                 2.9945,                 2.0363,             0.00035725,             0.00035725,             0.00035725
                      2,                0.81931,                 1.2982,                 1.3648,                0.33153,                0.50344,                0.30566,                0.11641,                 1.4997,                 2.6273,                 1.9885,             0.00069271,             0.00069271,             0.00069271
                      3,                0.76944,                 1.0839,                 1.3231,                0.52331,                0.62076,                0.45099,                0.20022,                 1.4217,                 2.3174,                 1.9083,              0.0009914,              0.0009914,              0.0009914
                      4,                0.78066,                 1.0582,                 1.3268,                0.35526,                0.39477,                 0.2812,                0.12077,                 1.7815,                 2.8335,                 2.3665,              0.0012168,              0.0012168,              0.0012168
                      5,                0.72767,                0.95538,                 1.2933,                 0.5156,                0.55506,                 0.5869,                0.35076,                 1.1188,                 1.8476,                 1.7741,              0.0011461,              0.0011461,              0.0011461
                      6,                0.70464,                0.89141,                 1.2619,                0.74041,                0.83046,                0.86096,                0.63762,                 0.9012,                 1.2238,                 1.3603,              0.0010753,              0.0010753,              0.0010753
                      7,                0.65501,                0.81134,                 1.2303,                0.84389,                0.83135,                0.87485,                0.68963,                0.78385,                 1.1161,                 1.1991,              0.0010046,              0.0010046,              0.0010046
                      8,                0.63132,                0.76332,                 1.2019,                 0.7993,                 0.8881,                0.90598,                0.64862,                0.93249,                0.95773,                 1.3402,             0.00093385,             0.00093385,             0.00093385
                      9,                0.61179,                0.70425,                 1.1939,                0.75785,                0.80833,                0.87061,                0.60406,                0.98413,                 1.1388,                 1.3496,             0.00086312,             0.00086312,             0.00086312
                     10,                0.57034,                0.65821,                 1.1709,                 0.8554,                0.89535,                0.93296,                0.69415,                0.79791,                0.75809,                 1.2121,             0.00079238,             0.00079238,             0.00079238
                     11,                0.49779,                0.63729,                 1.1876,                0.86325,                0.87512,                 0.9247,                0.80052,                0.60088,                0.73087,                0.98625,             0.00072164,             0.00072164,             0.00072164
                     12,                0.46034,                 0.5064,                 1.1444,                0.93769,                0.87557,                0.93412,                0.81034,                0.58892,                0.64328,                0.95004,             0.00065091,             0.00065091,             0.00065091
                     13,                0.43031,                0.45455,                  1.117,                0.92318,                0.93357,                0.96423,                0.84287,                0.53526,                0.54805,                0.91074,             0.00058017,             0.00058017,             0.00058017
                     14,                0.39476,                 0.4157,                 1.0904,                 0.9231,                0.95122,                0.96798,                0.87717,                0.44933,                0.44832,                0.81504,             0.00050944,             0.00050944,             0.00050944
                     15,                0.37461,                0.39395,                 1.0726,                 0.9643,                0.92331,                0.97237,                0.86853,                0.54093,                0.49024,                0.93541,              0.0004387,              0.0004387,              0.0004387
                     16,                0.36852,                0.37352,                  1.072,                0.95174,                0.94847,                0.97756,                0.88818,                0.48416,                0.42428,                0.85609,             0.00036797,             0.00036797,             0.00036797
                     17,                 0.3468,                0.34338,                 1.0622,                0.97573,                0.93188,                0.97784,                0.88978,                 0.4669,                0.40259,                0.83695,             0.00029723,             0.00029723,             0.00029723
                     18,                0.33223,                0.32978,                 1.0417,                0.94496,                0.95276,                0.97729,                0.89252,                0.44835,                0.41248,                0.81882,              0.0002265,              0.0002265,              0.0002265
                     19,                0.32481,                0.32005,                 1.0383,                0.96838,                0.94486,                0.98109,                0.90255,                0.42973,                0.37646,                0.79237,             0.00015576,             0.00015576,             0.00015576
                     20,                0.31118,                0.30865,                 1.0225,                0.96855,                0.93834,                0.97798,                0.90722,                0.42106,                0.38508,                 0.7872,             8.5026e-05,             8.5026e-05,             8.5026e-05
