Image_Name: 1724082651259
Class: Eye
Inner Main Points: [(664.8877776134636, 579.8344762099373), (671.4094992860076, 566.7695553245895), (683.7839701671204, 604.8731614026656), (686.9969869801797, 569.7415341989093), (687.9231958806731, 604.4747822263719)]
Mask Points:
[[        654         549]
 [        654         600]
 [        663         600]
 [        672         609]
 [        675         609]
 [        678         612]
 [        693         612]
 [        696         609]
 [        711         609]
 [        711         573]
 [        699         573]
 [        687         561]
 [        687         549]]
