Image_Name: _a_13,100 copy
Class: Hair
Inner Main Points: [(1028.2782999711433, 84.72642581609284), (1084.4891858591645, 114.56900416251783), (911.29238248638, 80.47102023589632), (1042.7225954784876, 162.94131799280038), (853.3014460233757, 166.69833830153576)]
Mask Points:
[[        987           6]
 [        987          27]
 [        984          30]
 [        984          33]
 [        978          39]
 [        966          39]
 [        963          36]
 [        960          36]
 [        957          39]
 [        948          39]
 [        945          42]
 [        942          42]
 [        936          48]
 [        933          48]
 [        930          51]
 [        924          51]
 [        921          54]
 [        918          54]
 [        915          57]
 [        912          57]
 [        909          60]
 [        903          60]
 [        900          63]
 [        873          63]
 [        870          66]
 [        870          90]
 [        855         105]
 [        855         108]
 [        837         126]
 [        840         129]
 [        840         135]
 [        843         138]
 [        843         150]
 [        840         153]
 [        840         156]
 [        834         162]
 [        822         162]
 [        822         177]
 [        837         177]
 [        840         180]
 [        843         180]
 [        849         186]
 [        846         189]
 [        846         192]
 [        843         195]
 [        843         204]
 [        840         207]
 [        840         210]
 [        843         213]
 [        846         213]
 [        849         216]
 [        855         216]
 [        864         207]
 [        864         168]
 [        867         165]
 [        867         159]
 [        870         156]
 [        870         150]
 [        873         147]
 [        873         144]
 [        882         135]
 [        882         132]
 [        888         126]
 [        888         123]
 [        909         102]
 [        912         102]
 [        915          99]
 [        918          99]
 [        921          96]
 [        924          96]
 [        927          93]
 [        936          93]
 [        939          90]
 [        945          90]
 [        948          93]
 [        951          93]
 [        957          99]
 [        957         102]
 [        960         105]
 [        960         114]
 [        963         117]
 [        963         123]
 [        969         129]
 [        972         129]
 [        975         132]
 [        975         135]
 [        978         135]
 [        978         123]
 [        981         120]
 [        981         111]
 [        984         108]
 [        990         108]
 [        993         111]
 [        993         114]
 [        996         117]
 [        999         117]
 [       1008         126]
 [       1011         126]
 [       1023         138]
 [       1023         144]
 [       1026         147]
 [       1026         162]
 [       1023         165]
 [       1023         180]
 [       1026         180]
 [       1029         177]
 [       1032         177]
 [       1035         174]
 [       1041         174]
 [       1050         183]
 [       1050         189]
 [       1053         192]
 [       1053         204]
 [       1056         207]
 [       1056         213]
 [       1059         216]
 [       1059         234]
 [       1062         234]
 [       1065         237]
 [       1077         237]
 [       1083         243]
 [       1092         234]
 [       1092         231]
 [       1098         225]
 [       1101         225]
 [       1104         222]
 [       1122         222]
 [       1125         219]
 [       1125         207]
 [       1128         204]
 [       1128         201]
 [       1131         198]
 [       1131         186]
 [       1128         183]
 [       1122         183]
 [       1119         180]
 [       1116         180]
 [       1110         174]
 [       1110         147]
 [       1107         144]
 [       1107         141]
 [       1101         135]
 [       1101         129]
 [       1098         126]
 [       1098         123]
 [       1104         117]
 [       1107         117]
 [       1110         114]
 [       1113         114]
 [       1113         111]
 [       1110         108]
 [       1107         108]
 [       1104         105]
 [       1101         105]
 [       1095          99]
 [       1089          99]
 [       1083          93]
 [       1083          90]
 [       1071          78]
 [       1071          75]
 [       1068          75]
 [       1065          72]
 [       1062          72]
 [       1059          69]
 [       1053          69]
 [       1050          66]
 [       1047          66]
 [       1044          63]
 [       1053          54]
 [       1059          54]
 [       1056          54]
 [       1053          51]
 [       1047          51]
 [       1044          54]
 [       1041          54]
 [       1038          57]
 [       1026          57]
 [       1014          45]
 [       1014          42]
 [       1008          36]
 [       1008          30]
 [       1002          24]
 [       1002          21]
 [        999          18]
 [        999           6]]
