Image_Name: _a_18,100 copy
Class: Hair
Inner Main Points: [(990.324916815553, 54.00825174169961), (1034.9702569598662, 73.39193848793605), (1079.0185677915065, 121.13849640284916), (984.6862223706869, 75.09637717439082), (1005.9667781190913, 110.961893920703)]
Mask Points:
[[        993           6]
 [        993          21]
 [        990          24]
 [        990          27]
 [        978          39]
 [        969          39]
 [        966          36]
 [        963          39]
 [        954          39]
 [        951          42]
 [        948          42]
 [        942          48]
 [        939          48]
 [        936          51]
 [        933          51]
 [        930          54]
 [        927          54]
 [        921          60]
 [        915          60]
 [        912          63]
 [        909          63]
 [        906          66]
 [        903          66]
 [        897          72]
 [        897          75]
 [        873          99]
 [        870          99]
 [        864         105]
 [        864         108]
 [        858         114]
 [        846         114]
 [        846         141]
 [        855         141]
 [        858         144]
 [        858         150]
 [        855         153]
 [        846         153]
 [        846         198]
 [        870         198]
 [        870         174]
 [        873         171]
 [        873         165]
 [        876         162]
 [        876         159]
 [        879         156]
 [        879         153]
 [        882         150]
 [        882         147]
 [        885         144]
 [        885         141]
 [        888         138]
 [        888         135]
 [        891         132]
 [        891         129]
 [        894         126]
 [        894         123]
 [        912         105]
 [        915         105]
 [        918         102]
 [        921         102]
 [        924          99]
 [        930          99]
 [        933          96]
 [        951          96]
 [        957         102]
 [        957         105]
 [        960         108]
 [        960         114]
 [        963         117]
 [        963         120]
 [        966         123]
 [        966         126]
 [        975         135]
 [        978         135]
 [        981         132]
 [        981         129]
 [        984         126]
 [        984         120]
 [        987         117]
 [        993         117]
 [        996         120]
 [        999         120]
 [       1002         123]
 [       1005         123]
 [       1020         138]
 [       1020         141]
 [       1023         144]
 [       1023         174]
 [       1029         174]
 [       1032         171]
 [       1038         171]
 [       1047         180]
 [       1047         183]
 [       1050         186]
 [       1050         228]
 [       1053         231]
 [       1053         234]
 [       1056         237]
 [       1071         237]
 [       1074         240]
 [       1077         240]
 [       1086         249]
 [       1089         246]
 [       1092         246]
 [       1098         240]
 [       1098         237]
 [       1101         234]
 [       1101         231]
 [       1107         225]
 [       1110         225]
 [       1113         222]
 [       1119         222]
 [       1122         219]
 [       1125         219]
 [       1125         216]
 [       1128         213]
 [       1128         210]
 [       1134         204]
 [       1143         204]
 [       1143         189]
 [       1134         189]
 [       1128         183]
 [       1125         183]
 [       1116         174]
 [       1116         159]
 [       1119         156]
 [       1119         147]
 [       1116         144]
 [       1116         141]
 [       1113         138]
 [       1113         135]
 [       1110         132]
 [       1110         129]
 [       1107         126]
 [       1107         123]
 [       1116         114]
 [       1119         114]
 [       1119         108]
 [       1113         102]
 [       1110         102]
 [       1107          99]
 [       1104          99]
 [       1101          96]
 [       1098          96]
 [       1074          72]
 [       1071          72]
 [       1062          63]
 [       1062          54]
 [       1056          48]
 [       1053          48]
 [       1050          45]
 [       1035          45]
 [       1032          42]
 [       1026          42]
 [       1020          36]
 [       1020          27]
 [       1017          24]
 [       1017          21]
 [       1014          18]
 [       1014           6]]
