Image_Name: bc05606262c32d47185ca9c6f9c419f5
Class: Upper_clothes
Inner Main Points: [(269.031507562318, 483.60988643644953), (282.94794563035566, 490.5111722928064), (275.27464014397754, 453.48633788963514), (106.93831333333888, 556.1139359521985), (144.4030387062664, 545.7500107368681)]
Mask Points:
[[        150      353.12]
 [        150      357.36]
 [     144.35      363.01]
 [     142.94      363.01]
 [     140.11      365.84]
 [      138.7      365.84]
 [     134.46      370.08]
 [     133.05      370.08]
 [     130.22       372.9]
 [     128.81       372.9]
 [     125.99      375.73]
 [     124.57      375.73]
 [     118.92      381.38]
 [     117.51      381.38]
 [     117.51      382.79]
 [     111.86      388.44]
 [     111.86      389.85]
 [     107.62      394.09]
 [     107.62       395.5]
 [     106.21      396.91]
 [     106.21      398.33]
 [      104.8      399.74]
 [      104.8      401.15]
 [     103.39      402.56]
 [     103.39      403.98]
 [     101.97      405.39]
 [     101.97       406.8]
 [     100.56      408.21]
 [     100.56      411.04]
 [     97.737      413.86]
 [     97.737      415.27]
 [     96.325      416.69]
 [     96.325       418.1]
 [     94.912      419.51]
 [     94.912      422.34]
 [       93.5      423.75]
 [       93.5      425.16]
 [     92.087      426.58]
 [     92.087      427.99]
 [     90.675       429.4]
 [     90.675      430.81]
 [     89.263      432.23]
 [     89.263      436.46]
 [      87.85      437.88]
 [      87.85      439.29]
 [     86.438       440.7]
 [     86.438      442.11]
 [     85.025      443.52]
 [     85.025      446.35]
 [     83.613      447.76]
 [     83.613      450.59]
 [       82.2         452]
 [       82.2      453.41]
 [     80.787      454.83]
 [     80.787      456.24]
 [     79.375      457.65]
 [     79.375      460.48]
 [     77.963      461.89]
 [     77.963      464.71]
 [      76.55      466.12]
 [      76.55      468.95]
 [     75.138      470.36]
 [     75.138      471.77]
 [     73.725      473.19]
 [     73.725      476.01]
 [     72.312      477.42]
 [     72.312      481.66]
 [       70.9      483.08]
 [       70.9      484.49]
 [     69.488       485.9]
 [     69.488      487.31]
 [     68.075      488.73]
 [     68.075      490.14]
 [     66.662      491.55]
 [     66.662      495.79]
 [      65.25       497.2]
 [      65.25      500.02]
 [     63.838      501.44]
 [     63.838      502.85]
 [     62.425      504.26]
 [     62.425      507.09]
 [     61.013       508.5]
 [     61.013      511.33]
 [       59.6      512.74]
 [       59.6      514.15]
 [     58.188      515.56]
 [     58.188      516.97]
 [     56.775      518.39]
 [     56.775       519.8]
 [     55.362      521.21]
 [     55.362      524.04]
 [      53.95      525.45]
 [      53.95      526.86]
 [     52.538      528.28]
 [     52.538      529.69]
 [     51.125       531.1]
 [     45.475       531.1]
 [     45.475      580.54]
 [     49.713      580.54]
