Image_Name: _a_15,100 copy
Class: Hair
Inner Main Points: [(1051.5331854724795, 73.96261173217951), (1092.5720654677211, 202.69996790514193), (1113.763630171869, 187.83730676736448), (867.3006590447586, 120.19453757503149), (1106.3382878614902, 158.56965560643565)]
Mask Points:
[[        996           6]
 [        996          24]
 [        993          27]
 [        993          30]
 [        987          36]
 [        969          36]
 [        966          39]
 [        957          39]
 [        954          42]
 [        951          42]
 [        945          48]
 [        939          48]
 [        936          51]
 [        930          51]
 [        927          54]
 [        921          54]
 [        918          57]
 [        912          57]
 [        909          54]
 [        903          54]
 [        900          57]
 [        897          57]
 [        894          60]
 [        894          69]
 [        891          72]
 [        891          78]
 [        855         114]
 [        855         147]
 [        852         150]
 [        852         153]
 [        849         156]
 [        846         156]
 [        843         159]
 [        834         159]
 [        834         171]
 [        843         171]
 [        855         183]
 [        855         186]
 [        852         189]
 [        852         201]
 [        855         204]
 [        855         207]
 [        858         210]
 [        864         210]
 [        867         207]
 [        870         207]
 [        870         204]
 [        873         201]
 [        873         198]
 [        876         195]
 [        873         192]
 [        873         171]
 [        876         168]
 [        876         165]
 [        879         162]
 [        879         159]
 [        882         156]
 [        882         150]
 [        885         147]
 [        885         144]
 [        891         138]
 [        891         135]
 [        894         132]
 [        894         129]
 [        900         123]
 [        900         120]
 [        912         108]
 [        915         108]
 [        921         102]
 [        924         102]
 [        927          99]
 [        930          99]
 [        933          96]
 [        945          96]
 [        948          93]
 [        954          93]
 [        960          99]
 [        960         102]
 [        963         105]
 [        963         108]
 [        966         111]
 [        966         114]
 [        969         117]
 [        969         120]
 [        972         123]
 [        972         126]
 [        978         132]
 [        987         132]
 [        987         126]
 [        993         120]
 [        996         120]
 [        999         117]
 [       1005         123]
 [       1008         123]
 [       1014         129]
 [       1017         129]
 [       1026         138]
 [       1026         147]
 [       1029         150]
 [       1026         153]
 [       1026         168]
 [       1023         171]
 [       1023         174]
 [       1026         177]
 [       1032         177]
 [       1035         174]
 [       1041         174]
 [       1044         171]
 [       1050         171]
 [       1053         174]
 [       1053         177]
 [       1056         180]
 [       1056         186]
 [       1059         189]
 [       1059         198]
 [       1056         201]
 [       1056         216]
 [       1059         219]
 [       1059         240]
 [       1062         243]
 [       1065         240]
 [       1074         240]
 [       1077         243]
 [       1080         243]
 [       1083         246]
 [       1089         246]
 [       1092         249]
 [       1095         249]
 [       1098         246]
 [       1098         243]
 [       1101         240]
 [       1101         237]
 [       1104         234]
 [       1104         231]
 [       1113         222]
 [       1116         222]
 [       1119         219]
 [       1122         219]
 [       1131         210]
 [       1131         204]
 [       1134         201]
 [       1134         186]
 [       1131         183]
 [       1128         183]
 [       1119         174]
 [       1119         147]
 [       1116         144]
 [       1116         141]
 [       1110         135]
 [       1110         129]
 [       1107         126]
 [       1107         123]
 [       1110         120]
 [       1113         120]
 [       1119         114]
 [       1122         114]
 [       1122         111]
 [       1113         102]
 [       1110         102]
 [       1107          99]
 [       1104          99]
 [       1080          75]
 [       1077          75]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1065          69]
 [       1062          66]
 [       1062          60]
 [       1068          54]
 [       1062          48]
 [       1059          48]
 [       1056          45]
 [       1035          45]
 [       1032          42]
 [       1026          42]
 [       1023          39]
 [       1023          36]
 [       1020          33]
 [       1020          27]
 [       1017          24]
 [       1017          18]
 [       1014          15]
 [       1014           6]]
