Image_Name: 1d5fb668e097948d03c9087372eae883
Class: Upper_clothes
Inner Main Points: [(239.5443166476386, 473.71639681405486), (109.72576936180806, 456.69370893324026), (207.10613665386396, 470.6231690612305), (187.43033251602557, 583.440448911324), (99.91200662614247, 479.32744150248766)]
Mask Points:
[[        150      353.12]
 [        150      357.36]
 [     144.35      363.01]
 [     142.94      363.01]
 [      138.7      367.25]
 [     137.29      367.25]
 [     134.46      370.08]
 [     133.05      370.08]
 [     128.81      374.31]
 [      127.4      374.31]
 [     123.16      378.55]
 [     121.75      378.55]
 [     111.86      388.44]
 [     111.86      389.85]
 [     109.04      392.67]
 [     109.04      394.09]
 [     107.62       395.5]
 [     107.62      396.91]
 [     106.21      398.33]
 [     106.21      399.74]
 [      104.8      401.15]
 [      104.8      402.56]
 [     103.39      403.98]
 [     103.39      405.39]
 [     101.97       406.8]
 [     101.97      408.21]
 [     100.56      409.62]
 [     100.56      412.45]
 [      99.15      413.86]
 [      99.15      415.27]
 [     97.737      416.69]
 [     97.737       418.1]
 [     96.325      419.51]
 [     96.325      420.92]
 [     94.912      422.34]
 [     94.912      423.75]
 [       93.5      425.16]
 [       93.5      427.99]
 [     90.675      430.81]
 [     90.675      433.64]
 [     89.263      435.05]
 [     89.263      437.88]
 [      87.85      439.29]
 [      87.85       440.7]
 [     86.438      442.11]
 [     86.438      443.52]
 [     85.025      444.94]
 [     85.025      447.76]
 [     83.613      449.17]
 [     83.613         452]
 [       82.2      453.41]
 [       82.2      454.83]
 [     80.787      456.24]
 [     80.787      457.65]
 [     79.375      459.06]
 [     79.375      461.89]
 [     77.963       463.3]
 [     77.963      466.12]
 [      76.55      467.54]
 [      76.55      470.36]
 [     75.138      471.77]
 [     75.138      473.19]
 [     73.725       474.6]
 [     73.725      477.42]
 [     72.312      478.84]
 [     72.312      483.08]
 [       70.9      484.49]
 [       70.9      487.31]
 [     69.488      488.73]
 [     69.488      490.14]
 [     68.075      491.55]
 [     68.075      494.38]
 [     66.662      495.79]
 [     66.662      498.61]
 [      65.25      500.02]
 [      65.25      502.85]
 [     63.838      504.26]
 [     63.838      505.67]
 [     62.425      507.09]
 [     62.425      509.91]
 [     61.013      511.33]
 [     61.013      514.15]
 [       59.6      515.56]
 [       59.6      516.97]
 [     58.188      518.39]
 [     58.188       519.8]
 [     56.775      521.21]
 [     56.775      522.62]
 [     55.362      524.04]
 [     55.362      525.45]
 [      53.95      526.86]
 [      53.95      528.28]
 [     52.538      529.69]
 [     52.538       531.1]
 [     49.713      533.92]
 [     45.475      533.92]
 [     45.475      579.12]
 [     49.713      579.12]
 [      53.95      583.36]
