Image_Name: _a_16,100 copy
Class: Hair
Inner Main Points: [(1017.3940189354205, 56.435475921441714), (1091.6776328549604, 224.48450196001258), (1095.9031174092188, 184.89523090865427), (1070.436966407545, 166.83973347769023), (867.0542064447416, 158.3922738721728)]
Mask Points:
[[        996           6]
 [        996          24]
 [        993          27]
 [        993          30]
 [        990          33]
 [        987          33]
 [        984          36]
 [        966          36]
 [        963          39]
 [        957          39]
 [        954          42]
 [        951          42]
 [        945          48]
 [        939          48]
 [        936          51]
 [        930          51]
 [        927          54]
 [        903          54]
 [        903          57]
 [        900          60]
 [        900          63]
 [        897          66]
 [        897          78]
 [        888          87]
 [        885          87]
 [        873          99]
 [        870          99]
 [        870         102]
 [        858         114]
 [        858         117]
 [        855         120]
 [        846         120]
 [        846         135]
 [        855         135]
 [        858         138]
 [        858         147]
 [        855         150]
 [        846         150]
 [        846         204]
 [        861         204]
 [        864         207]
 [        867         207]
 [        873         201]
 [        873         198]
 [        876         195]
 [        876         192]
 [        873         189]
 [        873         171]
 [        876         168]
 [        876         165]
 [        879         162]
 [        879         159]
 [        882         156]
 [        882         150]
 [        885         147]
 [        885         144]
 [        891         138]
 [        891         135]
 [        894         132]
 [        894         129]
 [        900         123]
 [        900         120]
 [        912         108]
 [        915         108]
 [        921         102]
 [        924         102]
 [        927          99]
 [        930          99]
 [        933          96]
 [        942          96]
 [        945          93]
 [        954          93]
 [        963         102]
 [        963         105]
 [        966         108]
 [        966         114]
 [        972         120]
 [        972         123]
 [        975         126]
 [        975         129]
 [        978         132]
 [        984         132]
 [        987         135]
 [        987         129]
 [        990         126]
 [        990         123]
 [        993         120]
 [        996         120]
 [        999         117]
 [       1002         120]
 [       1005         120]
 [       1017         132]
 [       1020         132]
 [       1023         135]
 [       1023         138]
 [       1026         141]
 [       1026         147]
 [       1029         150]
 [       1026         153]
 [       1026         168]
 [       1023         171]
 [       1023         174]
 [       1026         177]
 [       1032         177]
 [       1035         174]
 [       1041         174]
 [       1047         168]
 [       1053         174]
 [       1053         177]
 [       1056         180]
 [       1056         183]
 [       1059         186]
 [       1059         198]
 [       1056         201]
 [       1056         216]
 [       1059         219]
 [       1059         237]
 [       1062         240]
 [       1062         243]
 [       1065         240]
 [       1074         240]
 [       1077         243]
 [       1080         243]
 [       1083         246]
 [       1089         246]
 [       1092         249]
 [       1095         249]
 [       1098         246]
 [       1098         243]
 [       1101         240]
 [       1101         237]
 [       1104         234]
 [       1104         231]
 [       1113         222]
 [       1116         222]
 [       1119         219]
 [       1122         219]
 [       1125         216]
 [       1128         216]
 [       1131         213]
 [       1131         207]
 [       1134         204]
 [       1134         186]
 [       1131         183]
 [       1128         183]
 [       1119         174]
 [       1119         159]
 [       1122         156]
 [       1122         147]
 [       1116         141]
 [       1116         138]
 [       1113         135]
 [       1113         132]
 [       1110         129]
 [       1110         123]
 [       1116         117]
 [       1119         117]
 [       1122         114]
 [       1125         114]
 [       1125         111]
 [       1122         108]
 [       1119         108]
 [       1113         102]
 [       1110         102]
 [       1104          96]
 [       1101          96]
 [       1098          93]
 [       1098          90]
 [       1086          78]
 [       1083          78]
 [       1080          75]
 [       1077          75]
 [       1071          69]
 [       1065          69]
 [       1062          66]
 [       1062          63]
 [       1065          60]
 [       1065          57]
 [       1068          54]
 [       1068          51]
 [       1065          51]
 [       1059          45]
 [       1053          45]
 [       1050          42]
 [       1047          42]
 [       1044          45]
 [       1035          45]
 [       1032          42]
 [       1029          42]
 [       1026          39]
 [       1026          36]
 [       1023          33]
 [       1023          27]
 [       1020          24]
 [       1020           6]]
