Image_Name: _a_0,100 copy
Class: Upper_clothes
Inner Main Points: [(958.8708828154915, 388.3448202811245), (1052.795540601443, 619.6361969834047), (858.0096441820381, 623.808599192305), (978.6854918729546, 561.1149122014122), (808.9227991556296, 551.3194908171336)]
Mask Points:
[[        969         354]
 [        969         363]
 [        951         381]
 [        948         381]
 [        945         384]
 [        942         384]
 [        939         387]
 [        936         387]
 [        933         390]
 [        921         390]
 [        918         387]
 [        915         387]
 [        897         369]
 [        894         369]
 [        891         366]
 [        879         366]
 [        876         369]
 [        870         369]
 [        867         372]
 [        864         372]
 [        861         375]
 [        858         375]
 [        855         378]
 [        855         384]
 [        849         390]
 [        849         393]
 [        846         396]
 [        846         399]
 [        840         405]
 [        840         408]
 [        837         411]
 [        837         414]
 [        834         417]
 [        834         420]
 [        831         423]
 [        831         426]
 [        828         429]
 [        828         432]
 [        825         435]
 [        825         438]
 [        822         441]
 [        822         444]
 [        819         447]
 [        819         450]
 [        816         453]
 [        816         456]
 [        813         459]
 [        813         462]
 [        810         465]
 [        810         468]
 [        807         471]
 [        807         474]
 [        804         477]
 [        804         480]
 [        801         483]
 [        801         489]
 [        798         492]
 [        798         501]
 [        795         504]
 [        795         510]
 [        792         513]
 [        792         519]
 [        789         522]
 [        789         525]
 [        786         528]
 [        786         534]
 [        783         537]
 [        783         543]
 [        780         546]
 [        780         552]
 [        777         555]
 [        777         561]
 [        771         567]
 [        762         567]
 [        762         660]
 [        774         660]
 [        777         663]
 [        777         666]
 [        783         672]
 [        786         672]
 [        789         675]
 [        792         675]
 [        795         678]
 [        798         678]
 [        801         681]
 [        813         681]
 [        816         678]
 [        834         678]
 [        837         675]
 [        855         675]
 [        858         672]
 [        861         672]
 [        864         669]
 [        873         669]
 [        876         666]
 [        882         666]
 [        885         669]
 [       1011         669]
 [       1014         672]
 [       1017         672]
 [       1032         687]
 [       1032         699]
 [       1062         699]
 [       1062         690]
 [       1068         684]
 [       1071         684]
 [       1089         666]
 [       1089         663]
 [       1092         660]
 [       1092         657]
 [       1098         651]
 [       1107         651]
 [       1107         540]
 [       1098         540]
 [       1095         537]
 [       1095         534]
 [       1092         531]
 [       1092         522]
 [       1089         519]
 [       1089         513]
 [       1086         510]
 [       1086         501]
 [       1083         498]
 [       1083         489]
 [       1080         486]
 [       1080         480]
 [       1077         477]
 [       1077         471]
 [       1074         468]
 [       1074         465]
 [       1071         462]
 [       1071         456]
 [       1068         453]
 [       1068         450]
 [       1065         447]
 [       1065         444]
 [       1062         441]
 [       1062         435]
 [       1059         432]
 [       1059         429]
 [       1056         426]
 [       1056         423]
 [       1053         420]
 [       1053         417]
 [       1050         414]
 [       1050         411]
 [       1026         387]
 [       1023         387]
 [       1011         375]
 [       1008         375]
 [       1005         372]
 [       1002         372]
 [        999         369]
 [        996         369]
 [        990         363]
 [        990         354]]
