Image_Name: _a_15,100 copy
Class: Hair
Inner Main Points: [(951.6347445413658, 65.73713687973152), (1067.3070723469982, 112.38258735992989), (1010.365666336917, 70.0067329878929), (1028.4378796772414, 62.17795904721671), (1083.5868291268016, 148.46097174896352)]
Mask Points:
[[        999           6]
 [        999          18]
 [        996          21]
 [        996          27]
 [        987          36]
 [        963          36]
 [        960          39]
 [        954          39]
 [        951          42]
 [        948          42]
 [        942          48]
 [        939          48]
 [        936          51]
 [        927          51]
 [        924          54]
 [        921          54]
 [        918          57]
 [        894          57]
 [        894          60]
 [        891          63]
 [        891          78]
 [        888          81]
 [        888          84]
 [        885          87]
 [        882          87]
 [        870          99]
 [        867          99]
 [        867         102]
 [        858         111]
 [        846         111]
 [        846         204]
 [        873         204]
 [        873         201]
 [        876         198]
 [        876         195]
 [        873         192]
 [        873         180]
 [        876         177]
 [        876         156]
 [        879         153]
 [        879         144]
 [        882         141]
 [        882         138]
 [        885         135]
 [        885         132]
 [        891         126]
 [        891         123]
 [        912         102]
 [        915         102]
 [        918          99]
 [        921          99]
 [        924          96]
 [        927          96]
 [        930          93]
 [        933          93]
 [        936          90]
 [        954          90]
 [        963          99]
 [        963         108]
 [        966         111]
 [        966         117]
 [        972         123]
 [        972         126]
 [        978         132]
 [        981         129]
 [        981         123]
 [        984         120]
 [        984         117]
 [        990         111]
 [        993         114]
 [        999         114]
 [       1011         126]
 [       1014         126]
 [       1026         138]
 [       1026         147]
 [       1029         150]
 [       1026         153]
 [       1026         177]
 [       1029         174]
 [       1041         174]
 [       1047         168]
 [       1056         177]
 [       1056         180]
 [       1059         183]
 [       1059         192]
 [       1062         195]
 [       1062         204]
 [       1059         207]
 [       1059         231]
 [       1062         234]
 [       1062         237]
 [       1065         237]
 [       1068         240]
 [       1077         240]
 [       1080         243]
 [       1089         243]
 [       1092         240]
 [       1095         240]
 [       1095         237]
 [       1098         234]
 [       1098         231]
 [       1107         222]
 [       1110         222]
 [       1113         219]
 [       1122         219]
 [       1128         213]
 [       1131         213]
 [       1134         210]
 [       1143         210]
 [       1143         183]
 [       1131         183]
 [       1128         180]
 [       1125         180]
 [       1116         171]
 [       1119         168]
 [       1119         156]
 [       1122         153]
 [       1122         147]
 [       1113         138]
 [       1113         135]
 [       1110         132]
 [       1110         129]
 [       1107         126]
 [       1107         123]
 [       1116         114]
 [       1122         114]
 [       1122         111]
 [       1119         108]
 [       1113         108]
 [       1107         102]
 [       1104         102]
 [       1101          99]
 [       1098          99]
 [       1095          96]
 [       1095          93]
 [       1086          84]
 [       1086          81]
 [       1080          75]
 [       1077          75]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1062          69]
 [       1059          66]
 [       1059          63]
 [       1068          54]
 [       1068          51]
 [       1065          51]
 [       1062          48]
 [       1053          48]
 [       1050          45]
 [       1044          45]
 [       1041          48]
 [       1035          48]
 [       1029          42]
 [       1026          42]
 [       1023          39]
 [       1023          33]
 [       1020          30]
 [       1020          27]
 [       1017          24]
 [       1017           6]]
