Image_Name: _a_15,100 copy
Class: Hair
Inner Main Points: [(1085.8505078340609, 230.25285722364023), (1039.3032678742459, 78.52648321155479), (907.9783950860452, 67.82713660087965), (866.1402316220164, 120.12868416043318), (1041.8709282565533, 69.06660178517379)]
Mask Points:
[[        999           6]
 [        999          21]
 [        996          24]
 [        996          30]
 [        993          33]
 [        990          33]
 [        987          36]
 [        963          36]
 [        960          39]
 [        954          39]
 [        951          42]
 [        948          42]
 [        942          48]
 [        939          48]
 [        936          51]
 [        930          51]
 [        927          54]
 [        918          54]
 [        915          57]
 [        897          57]
 [        894          60]
 [        894          63]
 [        891          66]
 [        891          78]
 [        888          81]
 [        888          84]
 [        885          87]
 [        882          87]
 [        870          99]
 [        867          99]
 [        867         102]
 [        858         111]
 [        846         111]
 [        846         171]
 [        855         171]
 [        858         174]
 [        858         183]
 [        855         186]
 [        846         186]
 [        846         201]
 [        861         201]
 [        864         204]
 [        867         204]
 [        870         201]
 [        870         198]
 [        873         195]
 [        873         189]
 [        870         186]
 [        870         171]
 [        873         168]
 [        873         159]
 [        876         156]
 [        876         153]
 [        879         150]
 [        879         147]
 [        882         144]
 [        882         138]
 [        885         135]
 [        885         132]
 [        891         126]
 [        891         123]
 [        912         102]
 [        915         102]
 [        918          99]
 [        921          99]
 [        927          93]
 [        933          93]
 [        936          90]
 [        948          90]
 [        951          87]
 [        954          90]
 [        957          90]
 [        960          93]
 [        960          96]
 [        963          99]
 [        963         105]
 [        966         108]
 [        966         114]
 [        969         117]
 [        969         120]
 [        972         123]
 [        972         126]
 [        978         132]
 [        981         129]
 [        981         123]
 [        984         120]
 [        984         117]
 [        990         111]
 [        993         114]
 [        996         114]
 [        999         117]
 [       1002         117]
 [       1011         126]
 [       1014         126]
 [       1026         138]
 [       1026         141]
 [       1029         144]
 [       1029         159]
 [       1026         162]
 [       1026         168]
 [       1023         171]
 [       1023         174]
 [       1026         177]
 [       1029         177]
 [       1032         174]
 [       1041         174]
 [       1047         168]
 [       1053         174]
 [       1053         177]
 [       1056         180]
 [       1056         183]
 [       1059         186]
 [       1059         219]
 [       1062         222]
 [       1062         237]
 [       1077         237]
 [       1080         240]
 [       1083         240]
 [       1086         243]
 [       1095         243]
 [       1095         240]
 [       1098         237]
 [       1098         234]
 [       1101         231]
 [       1101         228]
 [       1107         222]
 [       1110         222]
 [       1113         219]
 [       1119         219]
 [       1122         216]
 [       1125         216]
 [       1131         210]
 [       1143         210]
 [       1143         183]
 [       1131         183]
 [       1128         180]
 [       1125         180]
 [       1116         171]
 [       1119         168]
 [       1119         147]
 [       1116         144]
 [       1116         141]
 [       1113         138]
 [       1113         135]
 [       1110         132]
 [       1110         129]
 [       1107         126]
 [       1107         123]
 [       1116         114]
 [       1122         114]
 [       1122         111]
 [       1116         111]
 [       1107         102]
 [       1101         102]
 [       1089          90]
 [       1089          87]
 [       1074          72]
 [       1071          72]
 [       1068          69]
 [       1062          69]
 [       1059          66]
 [       1059          60]
 [       1065          54]
 [       1062          51]
 [       1059          51]
 [       1056          48]
 [       1035          48]
 [       1029          42]
 [       1026          42]
 [       1023          39]
 [       1023          33]
 [       1020          30]
 [       1020          27]
 [       1017          24]
 [       1017          18]
 [       1014          15]
 [       1014           6]]
